ptp4l[7346664.276]: selected /dev/ptp0 as PTP clock
ptp4l[7346664.278]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[7346664.278]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[7346666.067]: port 1: new foreign master 507c6f.fffe.15e1cf-1
ptp4l[7346670.067]: selected best master clock 507c6f.fffe.15e1cf
ptp4l[7346670.067]: port 1: LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[7346781.068]: master offset        -10 s2 freq  +11010 path delay      1464
ptp4l[7346782.068]: master offset          4 s2 freq  +11021 path delay      1464
ptp4l[7346783.068]: master offset          8 s2 freq  +11026 path delay      1463
ptp4l[7346784.068]: master offset          6 s2 freq  +11026 path delay      1463
ptp4l[7346785.067]: master offset          0 s2 freq  +11022 path delay      1463
ptp4l[7346786.068]: master offset          4 s2 freq  +11026 path delay      1463
ptp4l[7346787.068]: master offset         -5 s2 freq  +11018 path delay      1463
ptp4l[7346788.068]: master offset         -1 s2 freq  +11021 path delay      1463
ptp4l[7346789.068]: master offset          3 s2 freq  +11025 path delay      1463
ptp4l[7346790.068]: master offset          1 s2 freq  +11024 path delay      1463
ptp4l[7346791.068]: master offset          1 s2 freq  +11024 path delay      1464
ptp4l[7346792.068]: master offset          1 s2 freq  +11024 path delay      1464
ptp4l[7346793.068]: master offset         -8 s2 freq  +11015 path delay      1465
ptp4l[7346794.068]: master offset          1 s2 freq  +11022 path delay      1464
ptp4l[7346795.068]: master offset          2 s2 freq  +11023 path delay      1465
ptp4l[7346796.068]: master offset         -4 s2 freq  +11018 path delay      1465
ptp4l[7346797.068]: master offset         10 s2 freq  +11031 path delay      1465
ptp4l[7346798.068]: master offset          2 s2 freq  +11026 path delay      1465
ptp4l[7346799.068]: master offset          8 s2 freq  +11032 path delay      1465
ptp4l[7346800.068]: master offset         -1 s2 freq  +11026 path delay      1465
ptp4l[7346801.068]: master offset        -10 s2 freq  +11016 path delay      1465
ptp4l[7346802.068]: master offset         -3 s2 freq  +11020 path delay      1465
ptp4l[7346803.068]: master offset          9 s2 freq  +11032 path delay      1465
ptp4l[7346804.068]: master offset          0 s2 freq  +11025 path delay      1465
ptp4l[7346805.068]: master offset         -8 s2 freq  +11017 path delay      1465
ptp4l[7346806.068]: master offset         -2 s2 freq  +11021 path delay      1465
ptp4l[7346807.068]: master offset          1 s2 freq  +11023 path delay      1465
ptp4l[7346808.068]: master offset          0 s2 freq  +11023 path delay      1466
ptp4l[7346809.068]: master offset         -5 s2 freq  +11018 path delay      1466
ptp4l[7346810.068]: master offset         -7 s2 freq  +11014 path delay      1465
ptp4l[7346811.068]: master offset         -4 s2 freq  +11015 path delay      1465
ptp4l[7346812.068]: master offset          6 s2 freq  +11024 path delay      1464
ptp4l[7346813.067]: master offset         -7 s2 freq  +11013 path delay      1465
ptp4l[7346814.068]: master offset          7 s2 freq  +11024 path delay      1465
ptp4l[7346815.068]: master offset          0 s2 freq  +11020 path delay      1464
ptp4l[7346816.068]: master offset          6 s2 freq  +11026 path delay      1462
ptp4l[7346817.068]: master offset         -3 s2 freq  +11018 path delay      1462
ptp4l[7346818.068]: master offset          2 s2 freq  +11022 path delay      1462
ptp4l[7346819.067]: master offset         -9 s2 freq  +11012 path delay      1463
ptp4l[7346820.068]: master offset         -2 s2 freq  +11016 path delay      1463
ptp4l[7346821.068]: master offset         -3 s2 freq  +11015 path delay      1463
ptp4l[7346822.068]: master offset          6 s2 freq  +11023 path delay      1463
ptp4l[7346823.068]: master offset         -1 s2 freq  +11018 path delay      1463
ptp4l[7346824.068]: master offset         -2 s2 freq  +11016 path delay      1463
ptp4l[7346825.067]: master offset          3 s2 freq  +11021 path delay      1463
ptp4l[7346826.068]: master offset         -7 s2 freq  +11012 path delay      1465
ptp4l[7346827.068]: master offset         -5 s2 freq  +11012 path delay      1466
ptp4l[7346828.068]: master offset          9 s2 freq  +11024 path delay      1464
ptp4l[7346829.068]: master offset         -9 s2 freq  +11009 path delay      1464
ptp4l[7346830.067]: master offset         -7 s2 freq  +11008 path delay      1463
ptp4l[7346831.068]: master offset         -1 s2 freq  +11012 path delay      1463
ptp4l[7346832.067]: master offset          1 s2 freq  +11014 path delay      1463
ptp4l[7346833.068]: master offset          7 s2 freq  +11020 path delay      1463
ptp4l[7346834.068]: master offset         -7 s2 freq  +11008 path delay      1464
ptp4l[7346835.068]: master offset          9 s2 freq  +11022 path delay      1464
ptp4l[7346836.068]: master offset         -5 s2 freq  +11011 path delay      1464
ptp4l[7346837.068]: master offset          1 s2 freq  +11015 path delay      1463
