phc2sys[7941945.233]: CLOCK_REALTIME phc offset        30 s2 freq  +10429 delay   2326
phc2sys[7941946.233]: CLOCK_REALTIME phc offset       -11 s2 freq  +10397 delay   2325
phc2sys[7941947.233]: CLOCK_REALTIME phc offset       -13 s2 freq  +10391 delay   2370
phc2sys[7941948.234]: CLOCK_REALTIME phc offset        17 s2 freq  +10417 delay   2325
phc2sys[7941949.234]: CLOCK_REALTIME phc offset      -221 s2 freq  +10185 delay   1949
phc2sys[7941950.234]: CLOCK_REALTIME phc offset       230 s2 freq  +10569 delay   2330
phc2sys[7941951.235]: CLOCK_REALTIME phc offset        36 s2 freq  +10444 delay   2375
phc2sys[7941952.235]: CLOCK_REALTIME phc offset        37 s2 freq  +10456 delay   2325
phc2sys[7941953.236]: CLOCK_REALTIME phc offset       -10 s2 freq  +10420 delay   2320
phc2sys[7941954.236]: CLOCK_REALTIME phc offset       -59 s2 freq  +10368 delay   2371
phc2sys[7941955.236]: CLOCK_REALTIME phc offset       -14 s2 freq  +10395 delay   2320
phc2sys[7941956.237]: CLOCK_REALTIME phc offset        -9 s2 freq  +10396 delay   2370
phc2sys[7941957.237]: CLOCK_REALTIME phc offset        -4 s2 freq  +10399 delay   2376
phc2sys[7941958.237]: CLOCK_REALTIME phc offset        -1 s2 freq  +10400 delay   2370
phc2sys[7941959.238]: CLOCK_REALTIME phc offset        86 s2 freq  +10487 delay   2365
phc2sys[7941960.238]: CLOCK_REALTIME phc offset        33 s2 freq  +10460 delay   2366
phc2sys[7941961.238]: CLOCK_REALTIME phc offset      -191 s2 freq  +10246 delay   1944
phc2sys[7941962.239]: CLOCK_REALTIME phc offset       170 s2 freq  +10549 delay   2370
phc2sys[7941963.239]: CLOCK_REALTIME phc offset        76 s2 freq  +10506 delay   2331
phc2sys[7941964.240]: CLOCK_REALTIME phc offset      -143 s2 freq  +10310 delay   1778
phc2sys[7941965.240]: CLOCK_REALTIME phc offset        93 s2 freq  +10503 delay   2375
phc2sys[7941966.240]: CLOCK_REALTIME phc offset        29 s2 freq  +10467 delay   2330
phc2sys[7941967.241]: CLOCK_REALTIME phc offset       -51 s2 freq  +10396 delay   2370
phc2sys[7941968.241]: CLOCK_REALTIME phc offset        -8 s2 freq  +10424 delay   2375
phc2sys[7941969.241]: CLOCK_REALTIME phc offset       -20 s2 freq  +10409 delay   2370
phc2sys[7941970.242]: CLOCK_REALTIME phc offset      -217 s2 freq  +10206 delay   1949
